year,region,state_name,statefip,statefip_str,state_shcollege_white,state_shcollege_hispanic,state_shcollege_black,state_shcollege_asian,state_shcollege_other,state_shnoncollege_white,state_shnoncollege_hispanic,state_shnoncollege_black,state_shnoncollege_asian,state_shnoncollege_other,state_shmarr_white_noncol,state_shcoh_white_noncol,state_shunpmom_white_noncol,state_shmarr_hispanic_noncol,state_shcoh_hispanic_noncol,state_shunpmom_hispanic_noncol,state_shmarr_black_noncol,state_shcoh_black_noncol,state_shunpmom_black_noncol,state_shmarr_asian_noncol,state_shcoh_asian_noncol,state_shunpmom_asian_noncol,state_shmarr_other_noncol,state_shcoh_other_noncol,state_shunpmom_other_noncol,state_shmarr_white_col,state_shcoh_white_col,state_shunpmom_white_col,state_shmarr_hispanic_col,state_shcoh_hispanic_col,state_shunpmom_hispanic_col,state_shmarr_black_col,state_shcoh_black_col,state_shunpmom_black_col,state_shmarr_asian_col,state_shcoh_asian_col,state_shunpmom_asian_col,state_shmarr_other_col,state_shcoh_other_col,state_shunpmom_other_col,state_shpov_white_noncol,state_shpov_hispanic_noncol,state_shpov_black_noncol,state_shpov_asian_noncol,state_shpov_other_noncol,state_shpov_white_col,state_shpov_hispanic_col,state_shpov_black_col,state_shpov_asian_col,state_shpov_other_col,state_shpov_white_noncol_marr,state_shpov_white_noncol_coh,state_shpov_white_noncol_unpmom,state_shpov_hisp_noncol_marr,state_shpov_hisp_noncol_coh,state_shpov_hisp_noncol_unpmom,state_shpov_black_noncol_marr,state_shpov_black_noncol_coh,state_shpov_black_noncol_unpmom,state_shpov_asian_noncol_marr,state_shpov_asian_noncol_coh,state_shpov_asian_noncol_unpmom,state_shpov_other_noncol_marr,state_shpov_other_noncol_coh,state_shpov_other_noncol_unpmom,state_shpov_white_col_marr,state_shpov_white_col_coh,state_shpov_white_col_unpmom,state_shpov_hisp_col_marr,state_shpov_hisp_col_coh,state_shpov_hisp_col_unpmom,state_shpov_black_col_marr,state_shpov_black_col_coh,state_shpov_black_col_unpmom,state_shpov_asian_col_marr,state_shpov_asian_col_coh,state_shpov_asian_col_unpmom,state_shpov_other_col_marr,state_shpov_other_col_coh,state_shpov_other_col_unpmom
2023,east south central div,Alabama,alabama,01,39.731266,20.516678,24.854723,52.569103,29.78824,60.268734,79.483322,75.145279,47.430897,70.211761,69.11338,9.1240845,21.762539,75.759148,7.2939239,16.946928,18.983797,12.724659,68.291542,85.430618,4.3238163,10.245564,48.142849,6.2129307,45.644218,89.04261,2.4835918,8.4737968,88.289192,1.8562307,9.8545752,62.525375,10.472267,27.002361,91.964378,0,8.0356197,84.979179,10.846719,4.1741028,13.965697,27.469709,33.513691,10.457055,21.907206,2.1483858,6.6564202,5.5436106,15.721403,9.5776329,7.302527,14.375955,34.954563,20.383499,37.175732,54.970287,12.448589,24.277954,41.090282,11.552744,0,5.7339449,2.5251203,55.585648,37.766106,1.1507732,9.2258921,10.556941,3.6625378,0,34.733055,.37753999,7.4084706,16.782671,13.867435,,36.939316,10.582196,0,14.014252
2023,pacific division,Alaska,alaska,02,48.817024,21.783981,19.979134,30.546389,13.977737,51.182976,78.216019,80.020866,69.453613,86.022263,73.2528,12.495589,14.251614,66.299454,18.107059,15.593484,100,0,0,59.358501,13.833158,26.808342,53.180862,21.491997,25.327141,93.231773,1.2491839,5.5190425,100,0,0,100,0,0,100,0,0,67.733238,2.7682905,29.498472,11.592669,10.411172,30.508474,16.288279,14.411731,1.4058759,0,0,0,8.9160528,7.5855031,22.890366,22.283716,9.4547157,11.910883,12.736319,30.508474,,,26.106293,0,2.9542098,10.089526,11.851047,25.660246,.18674137,0,22.318611,0,,,0,,,0,,,13.163482,0,0
2023,mountain division,Arizona,arizona,04,48.687969,18.225208,26.842829,64.01458,24.362522,51.312031,81.774796,73.157173,35.98542,75.637482,70.651093,10.938088,18.410818,56.844036,13.070581,30.085382,35.179642,16.071703,48.748657,80.107674,4.9274569,14.964869,48.806393,11.706335,39.48727,84.422432,4.4926972,11.08487,72.670692,9.1725836,18.156723,65.440948,4.8122191,29.746836,93.095665,1.6876122,5.216722,71.787804,6.9923902,21.219809,11.137177,25.014925,33.732533,11.798522,24.349318,4.2666144,12.25999,9.9225864,3.295717,5.9446344,7.4501739,11.640376,24.987007,16.640175,31.412939,38.058765,36.219315,29.233343,33.421261,9.0443106,7.8703699,27.835365,12.756872,27.908152,37.622574,3.3372765,6.328289,10.508862,7.9082742,11.32704,30.148666,5.5710974,0,21.100756,2.8321118,11.702127,8.8495579,2.9548829,0,18.018017
2023,west south central div,Arkansas,arkansas,05,40.429081,11.262144,16.602081,55.79937,23.695642,59.570919,88.737854,83.397919,44.20063,76.304359,70.380402,10.127167,19.492434,64.366302,11.173965,24.459734,17.090889,6.3357592,76.573349,69.083801,19.626574,11.289622,61.148434,15.929174,22.92239,87.605438,2.4856548,9.9089031,69.512955,8.2258673,22.261173,44.348442,7.3634663,48.288094,87.68631,0,12.313689,89.470322,.9698391,9.5598421,13.646399,19.179432,40.752434,14.068606,15.949032,2.9870317,17.303118,2.5469084,3.8523276,6.9807096,5.7053404,21.996737,37.980434,21.576517,29.195108,8.2959785,34.314682,14.991896,44.32077,4.8397236,51.40118,5.6410255,12.924875,21.026386,20.488016,1.3477492,14.820396,14.511657,8.1412106,0,52.305962,0,18.82662,2.4035254,4.3933053,,0,0,42.857143,68.673355
2023,pacific division,California,california,06,58.033363,16.143618,35.694389,65.504509,47.371014,41.966637,83.856384,64.305611,34.495491,52.628986,70.367447,10.453965,19.178587,57.303829,14.14019,28.555983,29.153984,8.6194429,62.22657,77.721764,7.2515116,15.026728,56.616447,11.769649,31.613905,85.924301,3.5171888,10.558506,72.958405,8.0684786,18.973118,58.194267,3.9868553,37.818878,89.70488,2.5695612,7.7255564,76.887581,6.3183055,16.794111,16.28763,31.466526,39.02866,24.584135,20.415854,5.7665443,8.9211283,11.832129,7.292954,8.3750553,11.246246,19.706936,32.920967,26.555243,34.151371,39.992626,18.977673,36.934574,48.712883,23.411467,14.138592,35.690208,17.054403,16.806875,27.779377,4.2440057,7.795105,17.481106,6.6001096,9.5319796,17.586504,6.5221691,8.5092201,20.353195,6.0990114,7.9953647,20.922726,4.936276,12.987013,22.383516
2023,mountain division,Colorado,colorado,08,61.169827,20.944906,36.027538,63.675835,49.629124,38.830173,79.055092,63.972462,36.324165,50.370876,67.630676,9.200552,23.168772,61.672062,8.6671638,29.660776,47.238113,3.6268902,49.134998,82.560364,12.311738,5.1278987,69.525627,7.673861,22.80051,87.7771,3.1195669,9.1033344,72.343353,12.653481,15.003164,62.35714,3.8640625,33.778797,93.252876,2.1513076,4.5958204,86.236931,5.411675,8.3513975,11.189473,22.393353,30.935839,13.154435,12.623652,3.2441723,8.1487341,5.7446938,6.010705,1.4679596,7.1551075,13.644221,21.991159,18.709854,21.794437,30.227268,18.513445,0,45.162186,11.15535,19.126215,31.002331,2.3389924,26.611328,39.276909,1.8451551,4.4047995,16.336193,8.4446974,1.6756283,12.180974,7.3118696,0,3.5087719,5.5206203,20.285263,9.2729969,1.0583878,4.2867184,3.8706739
2023,new england division,Connecticut,connecticut,09,66.188431,20.143925,32.568565,69.422493,41.598667,33.811569,79.856079,67.431435,30.577507,58.401333,65.196869,12.953658,21.849468,38.199699,17.71929,44.081013,44.756767,9.310524,45.932709,89.242798,1.3464601,9.4107428,68.094894,11.993863,19.911238,83.871445,4.8444295,11.284126,70.222816,10.327065,19.450117,55.131538,10.41983,34.448635,95.7976,.46870518,3.7336991,79.423073,10.307692,10.269231,10.175925,30.817493,18.938103,24.489649,22.694647,3.2241535,9.5497913,22.872679,5.021841,4.1230769,7.3479085,3.7484512,22.425066,24.437914,24.447819,38.906334,9.3307257,4.6251588,31.200743,23.312782,0,39.153847,16.261667,0,58.36544,1.977807,10.418077,9.3994112,5.4692245,27.184179,14.919291,29.429537,2.2566996,18.614902,5.242137,0,0,2.6828089,5.6716418,13.707866
2023,south atlantic division,Delaware,delaware,10,49.468033,17.117405,28.813633,71.839607,42.801609,50.531967,82.882599,71.186371,28.160393,57.198391,62.88295,12.211644,24.905407,52.862583,9.5276842,37.60973,33.29171,6.3470798,60.361214,78.949272,0,21.050724,59.563107,18.082525,22.354368,84.148949,3.1045446,12.746504,62.948372,6.3653326,30.686295,59.616257,.72987211,39.653877,74.833122,0,25.166882,37.917614,0,62.082386,7.6711826,22.108509,24.130474,26.15942,11.844661,3.0629845,10.864607,13.22799,.38346824,8.1738567,5.6935816,8.8289185,12.096708,12.920211,34.876404,31.788683,7.0807791,0,36.071445,22.120239,,41.30809,0,53.825504,9.4462547,1.7310779,3.6813922,11.70525,0,0,35.405407,22.188564,0,0,.5124312,,0,5.6458511,,9.7178679
2023,south atlantic division,District Of Columbia,district of columbia,11,92.337639,58.317257,31.320635,93.264412,81.394806,7.6623611,41.682743,68.679367,6.7355881,18.605194,63.356274,0,36.643723,37.787399,32.397732,29.814869,16.381046,2.3892901,81.22966,59.534882,0,40.465118,51.556664,21.917809,26.52553,89.637444,5.2438326,5.1187205,80.012802,9.3266459,10.660548,44.930687,16.594183,38.475128,84.245888,8.9351702,6.8189449,82.038147,6.8317676,11.130089,45.296623,20.812181,53.305031,40.465118,26.52553,1.6917344,0,14.460452,3.930131,8.1981211,13.657527,,100,31.766102,0,29.544317,54.256527,52.399479,53.139782,0,,100,0,0,100,.78587252,0,19.287991,0,0,0,4.0078645,65.806717,4.5213709,0,0,57.635468,0,0,73.657288
2023,south atlantic division,Florida,florida,12,47.36911,33.445175,22.441368,64.49514,45.684456,52.63089,66.554825,77.558632,35.50486,54.315544,67.723419,10.308207,21.968374,57.371746,15.749371,26.878881,38.476475,8.5557013,52.967823,81.745056,2.9954231,15.25952,65.289787,7.7694082,26.940802,85.367554,4.1579475,10.4745,74.249733,9.3186531,16.431612,56.868046,8.4351549,34.6968,91.957672,1.3938179,6.6485114,80.035614,6.3566155,13.607772,15.160746,31.597313,33.374111,23.906904,22.681673,4.9424729,13.157079,14.963943,9.2045593,10.261408,9.2149849,20.791214,30.848169,24.930031,29.397566,47.117241,24.674772,26.71876,40.76844,21.116457,8.1274385,41.952778,15.652953,43.253109,33.782894,3.6535316,3.3541269,16.077902,9.7019081,13.498079,28.576616,12.199519,8.0359964,21.179089,8.2583246,0,24.221901,9.2547493,17.354549,12.868757
